"id","city","code","country_id/id","state_id/id","name"
"l10n_tw.zip_100","中正區","100","臺灣","l10n_tw.state_TPC","100"
"l10n_tw.zip_103","大同區","103","臺灣","l10n_tw.state_TPC","103"
"l10n_tw.zip_104","中山區","104","臺灣","l10n_tw.state_TPC","104"
"l10n_tw.zip_105","松山區","105","臺灣","l10n_tw.state_TPC","105"
"l10n_tw.zip_106","大安區","106","臺灣","l10n_tw.state_TPC","106"
"l10n_tw.zip_108","萬華區","108","臺灣","l10n_tw.state_TPC","108"
"l10n_tw.zip_110","信義區","110","臺灣","l10n_tw.state_TPC","110"
"l10n_tw.zip_111","士林區","111","臺灣","l10n_tw.state_TPC","111"
"l10n_tw.zip_112","北投區","112","臺灣","l10n_tw.state_TPC","112"
"l10n_tw.zip_114","內湖區","114","臺灣","l10n_tw.state_TPC","114"
"l10n_tw.zip_115","南港區","115","臺灣","l10n_tw.state_TPC","115"
"l10n_tw.zip_116","文山區","116","臺灣","l10n_tw.state_TPC","116"
"l10n_tw.zip_200","仁愛區","200","臺灣","l10n_tw.state_KLC","200"
"l10n_tw.zip_201","信義區","201","臺灣","l10n_tw.state_KLC","201"
"l10n_tw.zip_202","中正區","202","臺灣","l10n_tw.state_KLC","202"
"l10n_tw.zip_203","中山區","203","臺灣","l10n_tw.state_KLC","203"
"l10n_tw.zip_204","安樂區","204","臺灣","l10n_tw.state_KLC","204"
"l10n_tw.zip_205","暖暖區","205","臺灣","l10n_tw.state_KLC","205"
"l10n_tw.zip_206","七堵區","206","臺灣","l10n_tw.state_KLC","206"
"l10n_tw.zip_207","萬里區","207","臺灣","l10n_tw.state_NTC","207"
"l10n_tw.zip_208","金山區","208","臺灣","l10n_tw.state_NTC","208"
"l10n_tw.zip_209","南竿鄉","209","臺灣","l10n_tw.state_LJS","209"
"l10n_tw.zip_210","北竿鄉","210","臺灣","l10n_tw.state_LJS","210"
"l10n_tw.zip_211","莒光鄉","211","臺灣","l10n_tw.state_LJS","211"
"l10n_tw.zip_212","東引鄉","212","臺灣","l10n_tw.state_LJS","212"
"l10n_tw.zip_220","板橋區","220","臺灣","l10n_tw.state_NTC","220"
"l10n_tw.zip_221","汐止區","221","臺灣","l10n_tw.state_NTC","221"
"l10n_tw.zip_222","深坑區","222","臺灣","l10n_tw.state_NTC","222"
"l10n_tw.zip_223","石碇區","223","臺灣","l10n_tw.state_NTC","223"
"l10n_tw.zip_224","瑞芳區","224","臺灣","l10n_tw.state_NTC","224"
"l10n_tw.zip_226","平溪區","226","臺灣","l10n_tw.state_NTC","226"
"l10n_tw.zip_227","雙溪區","227","臺灣","l10n_tw.state_NTC","227"
"l10n_tw.zip_228","貢寮區","228","臺灣","l10n_tw.state_NTC","228"
"l10n_tw.zip_231","新店區","231","臺灣","l10n_tw.state_NTC","231"
"l10n_tw.zip_232","坪林區","232","臺灣","l10n_tw.state_NTC","232"
"l10n_tw.zip_233","烏來區","233","臺灣","l10n_tw.state_NTC","233"
"l10n_tw.zip_234","永和區","234","臺灣","l10n_tw.state_NTC","234"
"l10n_tw.zip_235","中和區","235","臺灣","l10n_tw.state_NTC","235"
"l10n_tw.zip_236","土城區","236","臺灣","l10n_tw.state_NTC","236"
"l10n_tw.zip_237","三峽區","237","臺灣","l10n_tw.state_NTC","237"
"l10n_tw.zip_238","樹林區","238","臺灣","l10n_tw.state_NTC","238"
"l10n_tw.zip_239","鶯歌區","239","臺灣","l10n_tw.state_NTC","239"
"l10n_tw.zip_241","三重區","241","臺灣","l10n_tw.state_NTC","241"
"l10n_tw.zip_242","新莊區","242","臺灣","l10n_tw.state_NTC","242"
"l10n_tw.zip_243","泰山區","243","臺灣","l10n_tw.state_NTC","243"
"l10n_tw.zip_244","林口區","244","臺灣","l10n_tw.state_NTC","244"
"l10n_tw.zip_247","蘆洲區","247","臺灣","l10n_tw.state_NTC","247"
"l10n_tw.zip_248","五股區","248","臺灣","l10n_tw.state_NTC","248"
"l10n_tw.zip_249","八里區","249","臺灣","l10n_tw.state_NTC","249"
"l10n_tw.zip_251","淡水區","251","臺灣","l10n_tw.state_NTC","251"
"l10n_tw.zip_252","三芝區","252","臺灣","l10n_tw.state_NTC","252"
"l10n_tw.zip_253","石門區","253","臺灣","l10n_tw.state_NTC","253"
"l10n_tw.zip_260","壯圍鄉","260","臺灣","l10n_tw.state_YLS","260"
"l10n_tw.zip_261","頭城鎮","261","臺灣","l10n_tw.state_YLS","261"
"l10n_tw.zip_262","礁溪鄉","262","臺灣","l10n_tw.state_YLS","262"
"l10n_tw.zip_264","員山鄉","264","臺灣","l10n_tw.state_YLS","264"
"l10n_tw.zip_265","羅東鎮","265","臺灣","l10n_tw.state_YLS","265"
"l10n_tw.zip_266","三星鄉","266","臺灣","l10n_tw.state_YLS","266"
"l10n_tw.zip_267","大同鄉","267","臺灣","l10n_tw.state_YLS","267"
"l10n_tw.zip_268","五結鄉","268","臺灣","l10n_tw.state_YLS","268"
"l10n_tw.zip_269","冬山鄉","269","臺灣","l10n_tw.state_YLS","269"
"l10n_tw.zip_270","蘇澳鎮","270","臺灣","l10n_tw.state_YLS","270"
"l10n_tw.zip_272","南澳鄉","272","臺灣","l10n_tw.state_YLS","272"
"l10n_tw.zip_290","釣魚臺","290","臺灣","l10n_tw.state_YLS","290"
"l10n_tw.zip_300","寶山鄉","300","臺灣","l10n_tw.state_HCS","300"
"l10n_tw.zip_302","竹北市","302","臺灣","l10n_tw.state_HCS","302"
"l10n_tw.zip_303","湖口鄉","303","臺灣","l10n_tw.state_HCS","303"
"l10n_tw.zip_304","新豐鄉","304","臺灣","l10n_tw.state_HCS","304"
"l10n_tw.zip_305","新埔鎮","305","臺灣","l10n_tw.state_HCS","305"
"l10n_tw.zip_306","關西鎮","306","臺灣","l10n_tw.state_HCS","306"
"l10n_tw.zip_307","芎林鄉","307","臺灣","l10n_tw.state_HCS","307"
"l10n_tw.zip_310","竹東鎮","310","臺灣","l10n_tw.state_HCS","310"
"l10n_tw.zip_311","五峰鄉","311","臺灣","l10n_tw.state_HCS","311"
"l10n_tw.zip_312","橫山鄉","312","臺灣","l10n_tw.state_HCS","312"
"l10n_tw.zip_313","尖石鄉","313","臺灣","l10n_tw.state_HCS","313"
"l10n_tw.zip_314","北埔鄉","314","臺灣","l10n_tw.state_HCS","314"
"l10n_tw.zip_315","峨眉鄉","315","臺灣","l10n_tw.state_HCS","315"
"l10n_tw.zip_320","中壢區","320","臺灣","l10n_tw.state_HCS","320"
"l10n_tw.zip_324","平鎮區","324","臺灣","l10n_tw.state_TYC","324"
"l10n_tw.zip_325","龍潭區","325","臺灣","l10n_tw.state_TYC","325"
"l10n_tw.zip_326","楊梅區","326","臺灣","l10n_tw.state_TYC","326"
"l10n_tw.zip_327","新屋區","327","臺灣","l10n_tw.state_TYC","327"
"l10n_tw.zip_328","觀音區","328","臺灣","l10n_tw.state_TYC","328"
"l10n_tw.zip_330","桃園區","330","臺灣","l10n_tw.state_TYC","330"
"l10n_tw.zip_333","龜山區","333","臺灣","l10n_tw.state_TYC","333"
"l10n_tw.zip_334","八德區","334","臺灣","l10n_tw.state_TYC","334"
"l10n_tw.zip_335","大溪區","335","臺灣","l10n_tw.state_TYC","335"
"l10n_tw.zip_336","復興區","336","臺灣","l10n_tw.state_TYC","336"
"l10n_tw.zip_337","大園區","337","臺灣","l10n_tw.state_TYC","337"
"l10n_tw.zip_338","蘆竹區","338","臺灣","l10n_tw.state_TYC","338"
"l10n_tw.zip_350","竹南鎮","350","臺灣","l10n_tw.state_MLS","350"
"l10n_tw.zip_351","頭份市","351","臺灣","l10n_tw.state_MLS","351"
"l10n_tw.zip_352","三灣鄉","352","臺灣","l10n_tw.state_MLS","352"
"l10n_tw.zip_353","南庄鄉","353","臺灣","l10n_tw.state_MLS","353"
"l10n_tw.zip_354","獅潭鄉","354","臺灣","l10n_tw.state_MLS","354"
"l10n_tw.zip_356","後龍鎮","356","臺灣","l10n_tw.state_MLS","356"
"l10n_tw.zip_357","通霄鎮","357","臺灣","l10n_tw.state_MLS","357"
"l10n_tw.zip_358","苑裡鎮","358","臺灣","l10n_tw.state_MLS","358"
"l10n_tw.zip_360","苗栗市","360","臺灣","l10n_tw.state_MLS","360"
"l10n_tw.zip_361","造橋鄉","361","臺灣","l10n_tw.state_MLS","361"
"l10n_tw.zip_362","頭屋鄉","362","臺灣","l10n_tw.state_MLS","362"
"l10n_tw.zip_363","公館鄉","363","臺灣","l10n_tw.state_MLS","363"
"l10n_tw.zip_364","大湖鄉","364","臺灣","l10n_tw.state_MLS","364"
"l10n_tw.zip_365","泰安鄉","365","臺灣","l10n_tw.state_MLS","365"
"l10n_tw.zip_366","銅鑼鄉","366","臺灣","l10n_tw.state_MLS","366"
"l10n_tw.zip_367","三義鄉","367","臺灣","l10n_tw.state_MLS","367"
"l10n_tw.zip_368","西湖鄉","368","臺灣","l10n_tw.state_MLS","368"
"l10n_tw.zip_369","卓蘭鎮","369","臺灣","l10n_tw.state_MLS","369"
"l10n_tw.zip_400","中區","400","臺灣","l10n_tw.state_TCC","400"
"l10n_tw.zip_401","東區","401","臺灣","l10n_tw.state_TCC","401"
"l10n_tw.zip_402","南區","402","臺灣","l10n_tw.state_TCC","402"
"l10n_tw.zip_403","西區","403","臺灣","l10n_tw.state_TCC","403"
"l10n_tw.zip_404","北區","404","臺灣","l10n_tw.state_TCC","404"
"l10n_tw.zip_406","北屯區","406","臺灣","l10n_tw.state_TCC","406"
"l10n_tw.zip_407","西屯區","407","臺灣","l10n_tw.state_TCC","407"
"l10n_tw.zip_408","南屯區","408","臺灣","l10n_tw.state_TCC","408"
"l10n_tw.zip_411","太平區","411","臺灣","l10n_tw.state_TCC","411"
"l10n_tw.zip_412","大里區","412","臺灣","l10n_tw.state_TCC","412"
"l10n_tw.zip_413","霧峰區","413","臺灣","l10n_tw.state_TCC","413"
"l10n_tw.zip_414","烏日區","414","臺灣","l10n_tw.state_TCC","414"
"l10n_tw.zip_420","豐原區","420","臺灣","l10n_tw.state_TCC","420"
"l10n_tw.zip_421","后里區","421","臺灣","l10n_tw.state_TCC","421"
"l10n_tw.zip_422","石岡區","422","臺灣","l10n_tw.state_TCC","422"
"l10n_tw.zip_423","東勢區","423","臺灣","l10n_tw.state_TCC","423"
"l10n_tw.zip_424","和平區","424","臺灣","l10n_tw.state_TCC","424"
"l10n_tw.zip_426","新社區","426","臺灣","l10n_tw.state_TCC","426"
"l10n_tw.zip_427","潭子區","427","臺灣","l10n_tw.state_TCC","427"
"l10n_tw.zip_428","大雅區","428","臺灣","l10n_tw.state_TCC","428"
"l10n_tw.zip_429","神岡區","429","臺灣","l10n_tw.state_TCC","429"
"l10n_tw.zip_432","大肚區","432","臺灣","l10n_tw.state_TCC","432"
"l10n_tw.zip_433","沙鹿區","433","臺灣","l10n_tw.state_TCC","433"
"l10n_tw.zip_434","龍井區","434","臺灣","l10n_tw.state_TCC","434"
"l10n_tw.zip_435","梧棲區","435","臺灣","l10n_tw.state_TCC","435"
"l10n_tw.zip_436","清水區","436","臺灣","l10n_tw.state_TCC","436"
"l10n_tw.zip_437","大甲區","437","臺灣","l10n_tw.state_TCC","437"
"l10n_tw.zip_438","外埔區","438","臺灣","l10n_tw.state_TCC","438"
"l10n_tw.zip_439","大安區","439","臺灣","l10n_tw.state_TCC","439"
"l10n_tw.zip_500","彰化市","500","臺灣","l10n_tw.state_CHS","500"
"l10n_tw.zip_502","芬園鄉","502","臺灣","l10n_tw.state_CHS","502"
"l10n_tw.zip_503","花壇鄉","503","臺灣","l10n_tw.state_CHS","503"
"l10n_tw.zip_504","秀水鄉","504","臺灣","l10n_tw.state_CHS","504"
"l10n_tw.zip_505","鹿港鎮","505","臺灣","l10n_tw.state_CHS","505"
"l10n_tw.zip_506","福興鄉","506","臺灣","l10n_tw.state_CHS","506"
"l10n_tw.zip_507","線西鄉","507","臺灣","l10n_tw.state_CHS","507"
"l10n_tw.zip_508","和美鎮","508","臺灣","l10n_tw.state_CHS","508"
"l10n_tw.zip_509","伸港鄉","509","臺灣","l10n_tw.state_CHS","509"
"l10n_tw.zip_510","員林市","510","臺灣","l10n_tw.state_CHS","510"
"l10n_tw.zip_511","社頭鄉","511","臺灣","l10n_tw.state_CHS","511"
"l10n_tw.zip_512","永靖鄉","512","臺灣","l10n_tw.state_CHS","512"
"l10n_tw.zip_513","埔心鄉","513","臺灣","l10n_tw.state_CHS","513"
"l10n_tw.zip_514","溪湖鎮","514","臺灣","l10n_tw.state_CHS","514"
"l10n_tw.zip_515","大村鄉","515","臺灣","l10n_tw.state_CHS","515"
"l10n_tw.zip_516","埔鹽鄉","516","臺灣","l10n_tw.state_CHS","516"
"l10n_tw.zip_520","田中鎮","520","臺灣","l10n_tw.state_CHS","520"
"l10n_tw.zip_521","北斗鎮","521","臺灣","l10n_tw.state_CHS","521"
"l10n_tw.zip_522","田尾鄉","522","臺灣","l10n_tw.state_CHS","522"
"l10n_tw.zip_523","埤頭鄉","523","臺灣","l10n_tw.state_CHS","523"
"l10n_tw.zip_524","溪州鄉","524","臺灣","l10n_tw.state_CHS","524"
"l10n_tw.zip_525","竹塘鄉","525","臺灣","l10n_tw.state_CHS","525"
"l10n_tw.zip_526","二林鎮","526","臺灣","l10n_tw.state_CHS","526"
"l10n_tw.zip_527","大城鄉","527","臺灣","l10n_tw.state_CHS","527"
"l10n_tw.zip_528","芳苑鄉","528","臺灣","l10n_tw.state_CHS","528"
"l10n_tw.zip_530","二水鄉","530","臺灣","l10n_tw.state_CHS","530"
"l10n_tw.zip_540","南投市","540","臺灣","l10n_tw.state_NTS","540"
"l10n_tw.zip_541","中寮鄉","541","臺灣","l10n_tw.state_NTS","541"
"l10n_tw.zip_542","草屯鎮","542","臺灣","l10n_tw.state_NTS","542"
"l10n_tw.zip_544","國姓鄉","544","臺灣","l10n_tw.state_NTS","544"
"l10n_tw.zip_545","埔里鎮","545","臺灣","l10n_tw.state_NTS","545"
"l10n_tw.zip_546","仁愛鄉","546","臺灣","l10n_tw.state_NTS","546"
"l10n_tw.zip_551","名間鄉","551","臺灣","l10n_tw.state_NTS","551"
"l10n_tw.zip_552","集集鎮","552","臺灣","l10n_tw.state_NTS","552"
"l10n_tw.zip_553","水里鄉","553","臺灣","l10n_tw.state_NTS","553"
"l10n_tw.zip_555","魚池鄉","555","臺灣","l10n_tw.state_NTS","555"
"l10n_tw.zip_556","信義鄉","556","臺灣","l10n_tw.state_NTS","556"
"l10n_tw.zip_557","竹山鎮","557","臺灣","l10n_tw.state_NTS","557"
"l10n_tw.zip_558","鹿谷鄉","558","臺灣","l10n_tw.state_NTS","558"
"l10n_tw.zip_600","東區","600","臺灣","l10n_tw.state_JIC","600"
"l10n_tw.zip_602","番路鄉","602","臺灣","l10n_tw.state_JIS","602"
"l10n_tw.zip_603","梅山鄉","603","臺灣","l10n_tw.state_JIS","603"
"l10n_tw.zip_604","竹崎鄉","604","臺灣","l10n_tw.state_JIS","604"
"l10n_tw.zip_605","阿里山鄉","605","臺灣","l10n_tw.state_JIS","605"
"l10n_tw.zip_606","中埔鄉","606","臺灣","l10n_tw.state_JIS","606"
